+-------+------+-----------------+----------+-----------+---------------------+-----------+
| Month | Year | Monthly Payment | Interest | Principal | Total Interest Paid | Balance   |
| Oct   | 2024 | 7830.07         | 726.1    | 7103.97   | 40574.99            | 186522.61 |
| Nov   | 2024 | 7830.07         | 699.46   | 7130.61   | 41274.45            | 179392.0  |
| Dec   | 2024 | 7830.07         | 672.72   | 7157.35   | 41947.17            | 172234.65 |
| Jan   | 2025 | 7830.07         | 645.88   | 7184.19   | 42593.05            | 165050.46 |
| Feb   | 2025 | 7830.07         | 618.94   | 7211.13   | 43211.99            | 157839.33 |
| Mar   | 2025 | 7830.07         | 591.9    | 7238.17   | 43803.88            | 150601.16 |
| Apr   | 2025 | 7830.07         | 564.75   | 7265.31   | 44368.64            | 143335.85 |
| May   | 2025 | 7830.07         | 537.51   | 7292.56   | 44906.15            | 136043.29 |
| June  | 2025 | 7830.07         | 510.16   | 7319.91   | 45416.31            | 128723.38 |
| July  | 2025 | 7830.07         | 482.71   | 7347.36   | 45899.02            | 121376.03 |
| Aug   | 2025 | 7830.07         | 455.16   | 7374.91   | 46354.18            | 114001.12 |
| Sept  | 2025 | 7830.07         | 427.5    | 7402.56   | 46781.69            | 106598.56 |
| Oct   | 2025 | 7830.07         | 399.74   | 7430.32   | 47181.43            | 99168.23  |
| Nov   | 2025 | 7830.07         | 371.88   | 7458.19   | 47553.31            | 91710.05  |
| Dec   | 2025 | 7830.07         | 343.91   | 7486.16   | 47897.23            | 84223.89  |
| Jan   | 2026 | 7830.07         | 315.84   | 7514.23   | 48213.07            | 76709.66  |
| Feb   | 2026 | 7830.07         | 287.66   | 7542.41   | 48500.73            | 69167.25  |
| Mar   | 2026 | 7830.07         | 259.38   | 7570.69   | 48760.1             | 61596.56  |
| Apr   | 2026 | 7830.07         | 230.99   | 7599.08   | 48991.09            | 53997.48  |
| May   | 2026 | 7830.07         | 202.49   | 7627.58   | 49193.58            | 46369.91  |
| June  | 2026 | 7830.07         | 173.89   | 7656.18   | 49367.47            | 38713.72  |
| July  | 2026 | 7830.07         | 145.18   | 7684.89   | 49512.65            | 31028.83  |
| Aug   | 2026 | 7830.07         | 116.36   | 7713.71   | 49629.0             | 23315.12  |
| Sept  | 2026 | 7830.07         | 87.43    | 7742.64   | 49716.44            | 15572.49  |
| Oct   | 2026 | 7830.07         | 58.4     | 7771.67   | 49774.83            | 7800.82   |
| Nov   | 2026 | 7830.07         | 29.25    | 7800.82   | 49804.08            | 0.0       |
+-------+------+-----------------+----------+-----------+---------------------+-----------+
